Animal	treatment	genetics	tank	dose	TE	Outcome								
817	PH	3	15	3	4	1								
818	PH	3	15	3	4	1								
819	PH	3	15	3	5	1								
820	PH	3	15	3	5	0								
821	PH	3	15	3	4	1								
822	PH	3	15	3	4	1								
823	PH	3	15	3	4	1								
824	PH	3	15	3	4	1								
825	PH	3	15	3	4	1								
826	PH	3	15	3	4	1								
827	PH	3	15	3	4	1								
828	PH	3	15	3	4	1								
829	PH	3	15	3	4	1								
830	PH	3	15	3	4	1								
831	PH	3	15	3	4	1								
832	PH	3	15	3	4	1								
833	PH	3	15	3	4	1								
834	PH	3	15	3	4	1								
835	PH	3	15	3	4	1								
836	PH	3	15	3	4	1								
837	PH	3	15	3	4	1								
838	PH	3	15	3	4	1								
839	PH	3	15	3	4	1								
840	PH	3	15	3	4	1								
841	Heat	3	17	3	3	1								
842	Heat	3	17	3	3	1								
843	Heat	3	17	3	4	1								
844	Heat	3	17	3	4	1								
845	Heat	3	17	3	4	1								
846	Heat	3	17	3	4	1								
847	Heat	3	17	3	4	1								
848	Heat	3	17	3	4	1								
849	Heat	3	17	3	4	1								
850	Heat	3	17	3	4	1								
851	Heat	3	17	3	4	1								
852	Heat	3	17	3	4	1								
853	Heat	3	17	3	4	1								
854	Heat	3	17	3	4	1								
855	Heat	3	17	3	4	1								
856	Heat	3	17	3	4	1								
857	Heat	3	17	3	4	1								
858	Heat	3	17	3	4	1								
859	Heat	3	17	3	4	1								
860	Heat	3	17	3	4	1								
861	Heat	3	17	3	4	1								
862	Heat	3	17	3	4	1								
863	Heat	3	17	3	4	1								
864	Heat	3	17	3	4	1								
865	Heat	3	17	3	4	1								
866	Heat	3	17	3	4	1								
867	Heat	3	17	3	5	1								
868	Heat	3	17	3	5	1								
869	Heat	3	17	3	5	1								
870	Heat	3	17	3	5	1								
871	Heat	3	17	3	5	1								
872	Heat	3	17	3	5	1								
873	Heat	3	17	3	5	1								
874	Heat	3	17	3	5	1								
875	Heat	3	17	3	5	1								
876	Heat	3	17	3	5	1								
877	Heat	3	17	3	5	1								
878	Heat	3	17	3	5	1								
879	Heat	3	17	3	5	0								
880	Heat	3	17	3	5	0								
881	Probiotic	4	20	3	3	1								
882	Probiotic	4	20	3	4	1								
883	Probiotic	4	20	3	4	1								
884	Probiotic	4	20	3	4	1								
885	Probiotic	4	20	3	4	1								
886	Probiotic	4	20	3	4	1								
887	Probiotic	4	20	3	4	1								
888	Probiotic	4	20	3	5	1								
889	Probiotic	4	20	3	5	1								
890	Probiotic	4	20	3	5	1								
891	Probiotic	4	20	3	4	1								
892	Probiotic	4	20	3	4	1								
893	Probiotic	4	20	3	4	1								
894	Probiotic	4	20	3	4	1								
895	Probiotic	4	20	3	4	1								
896	Probiotic	4	20	3	4	1								
897	Probiotic	4	20	3	4	1								
898	Probiotic	4	20	3	4	1								
899	Probiotic	4	20	3	4	1								
900	Probiotic	4	20	3	5	1								
901	Probiotic	4	20	3	4	1								
902	Probiotic	4	20	3	4	1								
903	Probiotic	4	20	3	4	1								
904	Probiotic	4	20	3	4	1								
905	Probiotic	4	20	3	5	1								
906	Probiotic	4	20	3	5	1								
907	Probiotic	4	20	3	5	1								
908	Probiotic	4	20	3	5	1								
909	Probiotic	4	20	3	5	1								
910	Probiotic	4	20	3	5	1								
911	Probiotic	4	20	3	4	1								
912	Probiotic	4	20	3	4	1								
913	Probiotic	4	20	3	5	1								
914	Probiotic	4	20	3	5	1								
915	Probiotic	4	20	3	5	1								
916	Probiotic	4	20	3	5	1								
917	Probiotic	4	20	3	5	1								
918	Probiotic	4	20	3	5	0								
919	Probiotic	4	20	3	5	0								
920	Probiotic	4	20	3	5	0								
921	PH	4	21	3	4	1								
922	PH	4	21	3	4	1								
923	PH	4	21	3	4	1								
924	PH	4	21	3	4	1								
925	PH	4	21	3	5	1								
926	PH	4	21	3	5	1								
927	PH	4	21	3	5	1								
928	PH	4	21	3	5	1								
929	PH	4	21	3	5	1								
930	PH	4	21	3	5	0								
931	PH	4	21	3	4	1								
932	PH	4	21	3	4	1								
933	PH	4	21	3	4	1								
934	PH	4	21	3	4	1								
935	PH	4	21	3	4	1								
936	PH	4	21	3	4	1								
937	PH	4	21	3	5	1								
938	PH	4	21	3	5	1								
939	PH	4	21	3	5	1								
940	PH	4	21	3	5	1								
941	PH	4	21	3	4	1								
942	PH	4	21	3	4	1								
943	PH	4	21	3	4	1								
944	PH	4	21	3	4	1								
945	PH	4	21	3	5	1								
946	PH	4	21	3	5	1								
947	PH	4	21	3	5	1								
948	PH	4	21	3	5	1								
949	PH	4	21	3	5	1								
950	PH	4	21	3	5	1								
951	PH	4	21	3	4	1								
952	PH	4	21	3	4	1								
953	PH	4	21	3	4	1								
954	PH	4	21	3	4	1								
955	PH	4	21	3	4	1								
956	PH	4	21	3	4	1								
957	PH	4	21	3	5	1								
958	PH	4	21	3	5	0								
959	PH	4	21	3	5	0								
960	PH	4	21	3	5	0								
